pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
150,v,41,1,165,1,,,,,586.7312905420004,587.7261322920021,587.7261322920021,587.7261322920021,587.7261322920021,587.7261322920021,588.7239446250023,588.7239446250023,v,1,0.7013010420014325,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,41,2,166,2,,,,,589.4313844999997,590.4261394170026,590.4261394170026,590.4261394170026,590.4261394170026,590.4261394170026,591.4246667920015,591.4246667920015,c,1,0.8837832919998618,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,41,3,167,3,,,,,592.315036709002,593.309608042,593.309608042,593.309608042,593.309608042,593.309608042,594.3074722920028,594.3074722920028,z,1,0.6012255839996214,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,42,0,168,0,,,,,594.9155531670003,595.9104561250024,595.9104561250024,595.9104561250024,595.9104561250024,595.9104561250024,596.9075165000031,596.9075165000031,x,1,0.5505686670003342,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,42,1,169,1,,,,,597.4657967090025,598.4603357090018,598.4603357090018,598.4603357090018,598.4603357090018,598.4603357090018,599.457523000001,599.457523000001,v,1,0.7179078749977634,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,42,2,170,2,,,,,600.1820702500008,601.1765070840011,601.1765070840011,601.1765070840011,601.1765070840011,601.1765070840011,602.1744429999999,602.1744429999999,c,1,0.8497084170012386,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,42,3,171,3,,,,,603.0322659170015,604.0184351250027,604.0184351250027,604.0184351250027,604.0184351250027,604.0330590420017,605.024828667003,605.024828667003,z,1,0.7744583749990852,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,43,0,172,0,,,,,605.8066817920007,606.7947898340026,606.7947898340026,606.7947898340026,606.7947898340026,606.8045060000004,607.7913423749997,607.7913423749997,x,1,0.5175735000011628,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,43,1,173,1,,,,,608.3154448750029,609.3090026250029,609.3090026250029,609.3090026250029,609.3090026250029,609.3090026250029,610.3076414589996,610.3076414589996,v,1,2.0419666669986327,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,43,2,174,2,,,,,612.3567602920011,613.3494144169999,613.3494144169999,613.3494144169999,613.3494144169999,613.3494144169999,614.348586084001,614.348586084001,c,1,1.184127708998858,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,43,3,175,3,,,,,615.5398692500021,616.5279567090001,616.5279567090001,616.5279567090001,616.5279567090001,616.5368293339998,617.5243691249998,617.5243691249998,z,1,0.6344794169999659,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,44,0,176,0,,,,,618.1655164590011,619.1602973340014,619.1602973340014,619.1602973340014,619.1602973340014,619.1602973340014,620.158368417,620.158368417,x,1,0.4096652920015913,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,44,1,177,1,,,,,620.5744066670013,621.5829716250009,621.5829716250009,621.5829716250009,621.5829716250009,621.5829716250009,622.5652241669995,622.5652241669995,v,1,0.3936539999995148,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,44,2,178,2,,,,,622.9658082919996,623.9605008750004,623.9605008750004,623.9605008750004,623.9605008750004,623.9605008750004,624.9581534589997,624.9581534589997,c,1,0.5591165000005276,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,44,3,179,3,,,,,625.523969834001,626.5164991670026,626.5164991670026,626.5164991670026,626.5164991670026,626.5164991670026,627.5152840840019,627.5152840840019,z,1,0.5267562919980264,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,45,0,180,0,,,,,628.0496771670005,629.0437457920016,629.0437457920016,629.0437457920016,629.0437457920016,629.0437457920016,630.0414481670014,630.0414481670014,x,1,0.4343464169978688,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
